animal_id,group,project,experiment,cluster,time_bin,percentage,seconds,time_min
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_060s,0.0,60.0,1.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_090s,0.0,90.0,1.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_120s,0.0,120.0,2.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_150s,0.0,150.0,2.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_180s,0.0,180.0,3.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_210s,2.4,210.0,3.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_240s,0.0,240.0,4.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_270s,9.866666666666667,270.0,4.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_300s,6.0,300.0,5.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_330s,20.133333333333333,330.0,5.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_360s,16.933333333333334,360.0,6.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_390s,2.1333333333333333,390.0,6.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_420s,3.466666666666667,420.0,7.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_450s,0.0,450.0,7.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_030s,2.1333333333333333,30.0,0.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_060s,1.6,60.0,1.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_090s,32.93333333333333,90.0,1.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_120s,5.733333333333333,120.0,2.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_150s,4.666666666666667,150.0,2.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_180s,0.0,180.0,3.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_210s,12.0,210.0,3.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_240s,0.0,240.0,4.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_270s,1.6,270.0,4.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_300s,8.4,300.0,5.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_330s,5.733333333333333,330.0,5.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_360s,38.53333333333334,360.0,6.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_390s,26.93333333333333,390.0,6.5
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_420s,29.46666666666667,420.0,7.0
129.4,Control,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_450s,10.0,450.0,7.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_030s,22.000000000000004,30.0,0.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_060s,15.6,60.0,1.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_090s,6.133333333333334,90.0,1.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_120s,13.866666666666667,120.0,2.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_150s,0.0,150.0,2.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_180s,4.666666666666667,180.0,3.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_210s,0.2666666666666666,210.0,3.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_240s,0.0,240.0,4.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_270s,2.533333333333333,270.0,4.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_300s,0.7999999999999999,300.0,5.0
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_330s,2.4,330.0,5.5
133.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_360s,0.0,360.0,6.0
