cluster,analysis,parameter,coef,std_err,z,p_value,ci_low,ci_high,aic,bic,log_likelihood,n_observations,n_animals
Locomotion,Combined,Group Var,0.23887745106066016,,,,,,7572.0723133554475,7607.875699494013,-3779.0361566777237,1230,82
Locomotion,Combined,experiment Var,0.23887745106066074,,,,,,7572.0723133554475,7607.875699494013,-3779.0361566777237,1230,82
Climb,Exp1,Intercept,7.855511111111159,0.6539614153791733,12.01219357346405,3.066028376463191e-33,6.573770289689142,9.137251932533177,4703.469501905937,4731.1899411451195,-2345.7347509529686,750,50
Climb,Exp1,group[T.ELS],-0.5184888888889608,0.9248411028979299,-0.5606248330273269,0.5750533189358588,-2.3311441419912056,1.2941663642132841,4703.469501905937,4731.1899411451195,-2345.7347509529686,750,50
Climb,Exp1,time_bin_numeric,-0.017690793650793814,0.002119917562786467,-8.345038487034675,7.119069674933611e-17,-0.021845755724049218,-0.013535831577538411,4703.469501905937,4731.1899411451195,-2345.7347509529686,750,50
Climb,Exp1,group[T.ELS]:time_bin_numeric,0.002365714285714507,0.0029980161684055318,0.7890932379369692,0.4300575138706161,-0.0035102894294291045,0.008241718000858118,4703.469501905937,4731.1899411451195,-2345.7347509529686,750,50
Climb,Exp1,Group Var,0.13596270305889563,0.041948246779073245,3.2412010870195282,0.0011902718948724326,0.05374565015731374,0.2181797559604775,4703.469501905937,4731.1899411451195,-2345.7347509529686,750,50
Climb,Exp3,Intercept,5.410902777777774,0.6966719256603584,7.766787462619382,8.050175446609172e-15,4.045450894443306,6.776354661112242,2827.331825232916,2852.3745418563276,-1407.665912616458,480,32
Climb,Exp3,group[T.ELS],-0.3594444444444333,0.9852428857934601,-0.3648282566942431,0.7152396109760774,-2.290485016623925,1.571596127735058,2827.331825232916,2852.3745418563276,-1407.665912616458,480,32
Climb,Exp3,time_bin_numeric,-0.012506944444444426,0.0021699624187099687,-5.763668686888937,8.230490994943658e-09,-0.01675999263292139,-0.008253896255967463,2827.331825232916,2852.3745418563276,-1407.665912616458,480,32
Climb,Exp3,group[T.ELS]:time_bin_numeric,0.00224603174603171,0.0030687902823795647,0.7318948313047051,0.4642327612005386,-0.0037686866835387393,0.008260750175602159,2827.331825232916,2852.3745418563276,-1407.665912616458,480,32
Climb,Exp3,Group Var,0.16736002918000617,0.060560107412034575,2.7635358709213285,0.0057178807104011145,0.04866439975254122,0.2860556586074711,2827.331825232916,2852.3745418563276,-1407.665912616458,480,32
Climb,Combined,Intercept,6.9015176151761075,0.49302278865665283,13.998374464557276,1.5947675683160085e-44,5.935210705851565,7.86782452450065,7553.69662519092,7589.5000113294855,-3769.84831259546,1230,82
Climb,Combined,group[T.ELS],-0.45642276422759054,0.697239514277244,-0.6546140241359051,0.5127162924619034,-1.8229871008091894,0.9101415723540084,7553.69662519092,7589.5000113294855,-3769.84831259546,1230,82
Climb,Combined,time_bin_numeric,-0.015667828106852386,0.001548831712523971,-10.115900894952716,4.696758970872585e-24,-0.018703482481512865,-0.012632173732191908,7553.69662519092,7589.5000113294855,-3769.84831259546,1230,82
Climb,Combined,group[T.ELS]:time_bin_numeric,0.002319008904374618,0.0021903788136849504,1.05872504330576,0.28972501914893234,-0.0019740546829474536,0.00661207249169669,7553.69662519092,7589.5000113294855,-3769.84831259546,1230,82
Climb,Combined,Group Var,0.08021245827069545,,,,,,7553.69662519092,7589.5000113294855,-3769.84831259546,1230,82
Climb,Combined,experiment Var,0.08021245827069548,,,,,,7553.69662519092,7589.5000113294855,-3769.84831259546,1230,82
Jump,Exp1,Intercept,0.3663111111111084,0.12560386838415824,2.916399915253799,0.0035409630865769373,0.12013205275924912,0.6124901694629677,2507.7782634176656,2535.498702656848,-1247.8891317088328,750,50
Jump,Exp1,group[T.ELS],-0.06995555555555388,0.17763069415540195,-0.3938258299793198,0.6937096328172845,-0.4181053186489912,0.27819420753788343,2507.7782634176656,2535.498702656848,-1247.8891317088328,750,50
Jump,Exp1,time_bin_numeric,0.001575873015873026,0.000508972559564107,3.0961846297227327,0.001960282618285719,0.0005783051300082089,0.002573440901737843,2507.7782634176656,2535.498702656848,-1247.8891317088328,750,50
Jump,Exp1,group[T.ELS]:time_bin_numeric,0.00045841269841269226,0.0007197958966113085,0.6368648398397806,0.5242128868012625,-0.0009523613351651887,0.0018691867319905733,2507.7782634176656,2535.498702656848,-1247.8891317088328,750,50
