Animal,group,Experiment,cluster,bout_duration
43.5,ELS,1,Freezing,0.9634831460674157
43.5,ELS,1,Jump,0.75
43.5,ELS,1,Locomotion,0.4876237623762376
43.5,ELS,1,Sniffing,0.78125
43.5,ELS,1,Turn,1.2272727272727273
47.5,Control,1,Climbing,0.75
47.5,Control,1,Freezing,0.8814432989690721
47.5,Control,1,Grooming,0.25
47.5,Control,1,Jump,0.3888888888888889
47.5,Control,1,Locomotion,0.5176470588235295
47.5,Control,1,Sniffing,0.7236842105263158
47.5,Control,1,Turn,1.071808510638298
49.5,ELS,1,Climbing,0.925
49.5,ELS,1,Freezing,0.8
49.5,ELS,1,Grooming,0.3125
49.5,ELS,1,Jump,0.44642857142857145
49.5,ELS,1,Locomotion,0.46008403361344535
49.5,ELS,1,Sniffing,0.9444444444444444
49.5,ELS,1,Turn,1.4556962025316456
49.6,ELS,1,Climbing,0.8
49.6,ELS,1,Freezing,1.2751677852348993
49.6,ELS,1,Grooming,0.25
49.6,ELS,1,Jump,0.5416666666666666
49.6,ELS,1,Locomotion,0.4027777777777778
49.6,ELS,1,Sniffing,0.9027777777777778
49.6,ELS,1,Turn,0.9851485148514851
5.4,Control,1,Climbing,0.984375
5.4,Control,1,Freezing,1.0799180327868851
5.4,Control,1,Grooming,0.25
5.4,Control,1,Jump,0.525
5.4,Control,1,Locomotion,0.45588235294117646
5.4,Control,1,Sniffing,0.7692307692307693
5.4,Control,1,Turn,1.4263803680981595
50.5,Control,1,Climbing,1.078125
50.5,Control,1,Freezing,1.5277777777777777
50.5,Control,1,Jump,0.65
50.5,Control,1,Locomotion,0.4601449275362319
50.5,Control,1,Sniffing,0.75
50.5,Control,1,Turn,1.2220394736842106
53.5,Control,1,Climbing,0.7980769230769231
53.5,Control,1,Freezing,1.044921875
53.5,Control,1,Grooming,0.25
53.5,Control,1,Jump,0.65625
53.5,Control,1,Locomotion,0.49038461538461536
53.5,Control,1,Sniffing,0.6875
53.5,Control,1,Turn,1.0204918032786885
54.3,Control,1,Climbing,1.065217391304348
54.3,Control,1,Freezing,1.0232558139534884
54.3,Control,1,Grooming,0.3055555555555556
54.3,Control,1,Jump,0.4444444444444444
54.3,Control,1,Locomotion,0.5026595744680851
54.3,Control,1,Sniffing,0.8194444444444444
54.3,Control,1,Turn,1.1428571428571428
54.4,Control,1,Climbing,1.375
54.4,Control,1,Freezing,1.2619047619047619
54.4,Control,1,Jump,0.75
54.4,Control,1,Locomotion,0.3819444444444444
54.4,Control,1,Sniffing,0.525
54.4,Control,1,Turn,1.4318181818181819
54.6,Control,1,Climbing,1.0735294117647058
54.6,Control,1,Freezing,1.203883495145631
54.6,Control,1,Jump,0.3333333333333333
54.6,Control,1,Locomotion,0.4897260273972603
54.6,Control,1,Sniffing,0.4642857142857143
54.6,Control,1,Turn,1.3502604166666667
55.3,ELS,1,Climbing,1.0
55.3,ELS,1,Freezing,0.6754807692307693
55.3,ELS,1,Grooming,0.5
55.3,ELS,1,Jump,0.45588235294117646
55.3,ELS,1,Locomotion,0.5386178861788617
55.3,ELS,1,Sniffing,0.4166666666666667
55.3,ELS,1,Turn,0.9711981566820277
55.5,ELS,1,Climbing,0.79
55.5,ELS,1,Freezing,0.6887755102040817
55.5,ELS,1,Grooming,0.25
55.5,ELS,1,Jump,0.3409090909090909
55.5,ELS,1,Locomotion,0.53099173553719
55.5,ELS,1,Sniffing,0.8958333333333334
55.5,ELS,1,Turn,1.356145251396648
56.3,ELS,1,Climbing,1.13
56.3,ELS,1,Freezing,0.9260869565217391
56.3,ELS,1,Jump,0.6
56.3,ELS,1,Locomotion,0.5725806451612904
56.3,ELS,1,Sniffing,0.85
56.3,ELS,1,Turn,1.1732558139534883
