section,parameter,coef,se,z,p_value,ci_low,ci_high
Turn - Sanguino-Gomez & Krugers,Control - ELS vulnerable,0.4248538011696761,2.6108188726328403,0.16272817912536336,0.8707324589771203,-4.6922571593481575,5.54196476168751
Turn - Sanguino-Gomez & Krugers,ELS resilient - ELS vulnerable,3.419853801169749,4.0171198463669695,0.8513198341002,0.39459171004350946,-4.453556419290586,11.293264021630083
Turn - Sanguino-Gomez & Krugers,Time (per minute),0.7043107769423717,0.42311813445616064,1.6645724198222598,0.09599809161134615,-0.12498552779747932,1.5336070816822227
Turn - Sanguino-Gomez & Krugers,Control - ELS vulnerable x time (per minute),-2.0288060150376035,0.5613296375944917,-3.614286293044848,0.00030117611940590726,-3.128991888177728,-0.9286201418974789
Turn - Sanguino-Gomez & Krugers,ELS resilient - ELS vulnerable x time (per minute),-3.1816123642439633,0.8636862752799331,-3.683759317829564,0.00022981925267484446,-4.874406357734179,-1.4888183707537477
Turn - Sanguino-Gomez & Krugers,ELS resilient - Control,2.995000000000073,3.8997110345428228,0.7680056223322679,0.44248384465974866,-4.648293177817294,10.63829317781744
Turn - Sanguino-Gomez & Krugers,ELS resilient - Control x time (per minute),-1.1528063492063598,0.8384432197457174,-1.3749366946469939,0.16915107176923383,-2.7961248629897684,0.4905121645770487
Turn - Sanguino-Gomez et al.,Intercept,51.319222222222315,3.0515212075298805,16.81758661731988,1.813991330231965e-63,45.33835055740357,57.30009388704106
Turn - Sanguino-Gomez et al.,Control - ELS vulnerable,4.6930694444443715,3.8899415458342683,1.2064627165079567,0.22763912647065077,-2.931075887356858,12.317214776245601
Turn - Sanguino-Gomez et al.,ELS resilient - ELS vulnerable,4.876518518518453,4.9831132651531815,0.9786088051860784,0.32777330694021745,-4.890204012065575,14.643241049102482
Turn - Sanguino-Gomez et al.,Time (per minute),-0.7042857142857345,0.6162370456903292,-1.1428811675818196,0.25308793259813966,-1.9120881297781436,0.5035167012066745
Turn - Sanguino-Gomez et al.,Control - ELS vulnerable x time (per minute),-3.027797619047602,0.7855511802434388,-3.8543607281059664,0.00011603241134560567,-4.567449640337674,-1.4881455977575297
Turn - Sanguino-Gomez et al.,ELS resilient - ELS vulnerable x time (per minute),-2.868253968253952,1.006310881694312,-2.8502662749951697,0.004368264206475848,-4.840587053625551,-0.8959208828823527
Turn - Sanguino-Gomez et al.,ELS resilient - Control,0.1834490740740815,4.619469632256918,0.039712150674850184,0.9683226144817508,-8.870545032825966,9.237443180974129
