animal_id,group,experiment,cluster,frequency_seconds
55.5,ELS,1,Groom,0.039999999999999994
55.5,ELS,1,Jump,2.3600000000000003
55.5,ELS,1,Locomotion,47.199999999999996
55.5,ELS,1,Sniff,9.24
55.5,ELS,1,Turn,207.6
56.3,ELS,1,Climb,24.84
56.3,ELS,1,Freeze,93.04
56.3,ELS,1,Jump,1.92
56.3,ELS,1,Locomotion,41.279999999999994
56.3,ELS,1,Sniff,11.16
56.3,ELS,1,Turn,212.20000000000002
58.5,Control,1,Climb,22.959999999999997
58.5,Control,1,Freeze,77.24
58.5,Control,1,Groom,0.039999999999999994
58.5,Control,1,Jump,3.16
58.5,Control,1,Locomotion,51.2
58.5,Control,1,Sniff,3.4000000000000004
58.5,Control,1,Turn,174.52000000000004
62.1,Control,1,Climb,36.239999999999995
62.1,Control,1,Freeze,48.24
62.1,Control,1,Groom,0.4
62.1,Control,1,Jump,5.12
62.1,Control,1,Locomotion,40.040000000000006
62.1,Control,1,Sniff,5.080000000000001
62.1,Control,1,Turn,158.31999999999994
62.2,Control,1,Climb,12.52
62.2,Control,1,Freeze,112.19999999999999
62.2,Control,1,Groom,0.12
62.2,Control,1,Jump,1.4
62.2,Control,1,Locomotion,13.32
62.2,Control,1,Sniff,5.719999999999999
62.2,Control,1,Turn,227.88
62.3,Control,1,Climb,24.48
62.3,Control,1,Freeze,128.84
62.3,Control,1,Groom,0.19999999999999998
62.3,Control,1,Jump,4.120000000000001
62.3,Control,1,Locomotion,33.559999999999995
62.3,Control,1,Sniff,1.52
62.3,Control,1,Turn,185.55999999999997
62.4,Control,1,Climb,28.24
62.4,Control,1,Freeze,111.12
62.4,Control,1,Groom,0.07999999999999999
62.4,Control,1,Jump,4.0
62.4,Control,1,Locomotion,35.72
62.4,Control,1,Sniff,1.8399999999999999
62.4,Control,1,Turn,166.44
62.5,Control,1,Climb,28.88
62.5,Control,1,Freeze,45.480000000000004
62.5,Control,1,Jump,3.16
62.5,Control,1,Locomotion,58.92
62.5,Control,1,Sniff,3.68
62.5,Control,1,Turn,203.36
63.3,ELS,1,Climb,15.56
63.3,ELS,1,Freeze,87.11999999999999
63.3,ELS,1,Jump,3.16
63.3,ELS,1,Locomotion,32.72
63.3,ELS,1,Sniff,6.8
63.3,ELS,1,Turn,210.6
68.1,Control,1,Climb,22.080000000000002
68.1,Control,1,Freeze,85.60000000000001
68.1,Control,1,Jump,1.6400000000000001
68.1,Control,1,Locomotion,15.920000000000002
68.1,Control,1,Sniff,3.84
68.1,Control,1,Turn,210.19999999999996
69.1,ELS,1,Climb,5.3999999999999995
69.1,ELS,1,Freeze,73.64
69.1,ELS,1,Jump,4.52
69.1,ELS,1,Locomotion,30.480000000000004
69.1,ELS,1,Sniff,11.16
69.1,ELS,1,Turn,229.32
69.2,ELS,1,Climb,40.199999999999996
69.2,ELS,1,Freeze,33.839999999999996
69.2,ELS,1,Groom,0.36
69.2,ELS,1,Jump,4.4
69.2,ELS,1,Locomotion,50.800000000000004
69.2,ELS,1,Sniff,1.0
69.2,ELS,1,Turn,193.2
69.3,ELS,1,Climb,6.159999999999999
69.3,ELS,1,Freeze,51.56
69.3,ELS,1,Groom,0.2
69.3,ELS,1,Jump,3.7200000000000006
69.3,ELS,1,Locomotion,30.6
69.3,ELS,1,Sniff,9.68
69.3,ELS,1,Turn,243.76
69.5,ELS,1,Climb,20.8
69.5,ELS,1,Freeze,73.63999999999999
69.5,ELS,1,Groom,0.12
69.5,ELS,1,Jump,1.52
