animal_id,group,experiment,bin,time_s,pct_s0s28
54.6,Control,1,5,180,5.333333333333334
54.6,Control,1,6,210,23.866666666666667
54.6,Control,1,7,240,51.33333333333333
54.6,Control,1,8,270,25.866666666666667
54.6,Control,1,9,300,32.266666666666666
54.6,Control,1,10,330,33.33333333333333
54.6,Control,1,11,360,29.599999999999994
54.6,Control,1,12,390,49.199999999999996
54.6,Control,1,13,420,39.33333333333333
54.6,Control,1,14,450,52.53333333333333
55.3,ELS,1,0,30,0.0
55.3,ELS,1,1,60,0.0
55.3,ELS,1,2,90,1.3333333333333337
55.3,ELS,1,3,120,7.466666666666668
55.3,ELS,1,4,150,10.266666666666667
55.3,ELS,1,5,180,0.0
55.3,ELS,1,6,210,23.200000000000003
55.3,ELS,1,7,240,12.133333333333333
55.3,ELS,1,8,270,13.6
55.3,ELS,1,9,300,22.666666666666664
55.3,ELS,1,10,330,23.46666666666667
55.3,ELS,1,11,360,21.2
55.3,ELS,1,12,390,31.466666666666665
55.3,ELS,1,13,420,18.133333333333333
55.3,ELS,1,14,450,15.066666666666668
55.5,ELS,1,0,30,0.0
55.5,ELS,1,1,60,6.266666666666667
55.5,ELS,1,2,90,0.0
55.5,ELS,1,3,120,0.8
55.5,ELS,1,4,150,0.0
55.5,ELS,1,5,180,0.0
55.5,ELS,1,6,210,1.0666666666666669
55.5,ELS,1,7,240,12.533333333333331
55.5,ELS,1,8,270,5.2
55.5,ELS,1,9,300,10.933333333333334
55.5,ELS,1,10,330,12.933333333333334
55.5,ELS,1,11,360,18.0
55.5,ELS,1,12,390,7.466666666666668
55.5,ELS,1,13,420,7.866666666666666
55.5,ELS,1,14,450,9.066666666666666
56.3,ELS,1,0,30,0.0
56.3,ELS,1,1,60,0.0
56.3,ELS,1,2,90,2.8000000000000003
56.3,ELS,1,3,120,1.4666666666666666
56.3,ELS,1,4,150,2.8000000000000003
56.3,ELS,1,5,180,7.066666666666667
56.3,ELS,1,6,210,31.73333333333333
56.3,ELS,1,7,240,22.26666666666667
56.3,ELS,1,8,270,11.733333333333333
56.3,ELS,1,9,300,40.93333333333333
56.3,ELS,1,10,330,31.333333333333336
56.3,ELS,1,11,360,31.466666666666665
56.3,ELS,1,12,390,43.73333333333333
56.3,ELS,1,13,420,24.8
56.3,ELS,1,14,450,58.0
58.5,Control,1,0,30,0.0
58.5,Control,1,1,60,0.9333333333333336
58.5,Control,1,2,90,4.266666666666667
58.5,Control,1,3,120,3.2
58.5,Control,1,4,150,3.733333333333334
58.5,Control,1,5,180,0.0
58.5,Control,1,6,210,5.2
58.5,Control,1,7,240,11.733333333333333
58.5,Control,1,8,270,22.799999999999997
58.5,Control,1,9,300,15.2
58.5,Control,1,10,330,5.2
58.5,Control,1,11,360,28.133333333333333
58.5,Control,1,12,390,34.4
58.5,Control,1,13,420,73.86666666666667
58.5,Control,1,14,450,48.8
62.1,Control,1,0,30,0.0
62.1,Control,1,1,60,0.0
62.1,Control,1,2,90,0.0
62.1,Control,1,3,120,0.0
62.1,Control,1,4,150,0.0
62.1,Control,1,5,180,2.1333333333333333
62.1,Control,1,6,210,4.4
62.1,Control,1,7,240,3.4666666666666663
62.1,Control,1,8,270,8.933333333333334
62.1,Control,1,9,300,11.066666666666666
62.1,Control,1,10,330,12.266666666666666
62.1,Control,1,11,360,22.666666666666664
62.1,Control,1,12,390,14.533333333333337
62.1,Control,1,13,420,42.66666666666667
62.1,Control,1,14,450,38.666666666666664
62.2,Control,1,0,30,1.3333333333333337
62.2,Control,1,1,60,4.533333333333333
62.2,Control,1,2,90,27.33333333333333
62.2,Control,1,3,120,0.0
62.2,Control,1,4,150,6.666666666666667
62.2,Control,1,5,180,14.133333333333336
62.2,Control,1,6,210,19.6
62.2,Control,1,7,240,30.53333333333333
62.2,Control,1,8,270,26.13333333333333
62.2,Control,1,9,300,20.8
62.2,Control,1,10,330,55.199999999999996
62.2,Control,1,11,360,18.53333333333333
62.2,Control,1,12,390,24.8
62.2,Control,1,13,420,57.33333333333333
62.2,Control,1,14,450,67.06666666666666
62.3,Control,1,0,30,0.0
62.3,Control,1,1,60,0.0
62.3,Control,1,2,90,4.8
62.3,Control,1,3,120,7.6
62.3,Control,1,4,150,2.666666666666667
62.3,Control,1,5,180,6.533333333333333
62.3,Control,1,6,210,26.133333333333333
62.3,Control,1,7,240,20.266666666666666
62.3,Control,1,8,270,25.6
62.3,Control,1,9,300,39.86666666666667
62.3,Control,1,10,330,62.133333333333326
62.3,Control,1,11,360,57.99999999999999
62.3,Control,1,12,390,51.866666666666674
62.3,Control,1,13,420,49.73333333333333
62.3,Control,1,14,450,74.26666666666667
62.4,Control,1,0,30,0.0
62.4,Control,1,1,60,0.0
62.4,Control,1,2,90,2.4
62.4,Control,1,3,120,1.2
62.4,Control,1,4,150,0.0
62.4,Control,1,5,180,2.2666666666666666
62.4,Control,1,6,210,4.266666666666667
62.4,Control,1,7,240,26.0
62.4,Control,1,8,270,27.46666666666667
62.4,Control,1,9,300,18.8
62.4,Control,1,10,330,66.4
62.4,Control,1,11,360,65.86666666666666
62.4,Control,1,12,390,44.8
62.4,Control,1,13,420,55.06666666666666
62.4,Control,1,14,450,55.86666666666667
62.5,Control,1,0,30,0.0
62.5,Control,1,1,60,0.0
62.5,Control,1,2,90,0.0
62.5,Control,1,3,120,0.0
62.5,Control,1,4,150,0.0
62.5,Control,1,5,180,0.0
62.5,Control,1,6,210,2.2666666666666666
62.5,Control,1,7,240,18.400000000000002
62.5,Control,1,8,270,4.8
62.5,Control,1,9,300,18.8
62.5,Control,1,10,330,13.333333333333334
62.5,Control,1,11,360,27.333333333333336
62.5,Control,1,12,390,18.4
62.5,Control,1,13,420,23.866666666666667
62.5,Control,1,14,450,24.4
63.3,ELS,1,0,30,0.0
