behavior,rank,parameter,parameter_label,mean_absolute_shap,mean_shap,sd_shap,sem_shap,minimum_shap,maximum_shap,n_frames,plotted_top_10
Jump,152,tail_velocity,Tail velocity,0.01720455102622509,-0.007640404626727104,0.02495698817074299,0.000485908814750971,-0.145966574549675,0.23440295457839966,2638,False
Jump,153,B3L_velocity,Left body 3 velocity,0.01718837022781372,-0.008715864270925522,0.02197907865047455,0.0004279293632430533,-0.08327733725309372,0.16344808042049408,2638,False
Jump,154,H2L_velocity_roll_std,SD left head 2 velocity,0.017115803435444832,-0.009981178678572178,0.020164156332612038,0.00039259309805335016,-0.0972823053598404,0.21767567098140717,2638,False
Jump,155,dist_B2L_S1_roll_std,SD distance Left body 2 - Center body,0.016889536753296852,-0.0033466473687440157,0.02478858456015587,0.00048263002172272817,-0.19917438924312592,0.2523723542690277,2638,False
Jump,156,dist_B2L_B3L,Distance Left body 2 - Left body 3,0.016848931089043617,-0.002590347547084093,0.022062884643673897,0.0004295610533550942,-0.0878528580069542,0.10575519502162933,2638,False
Jump,157,dist_H2R_tail_roll_sum,Summed distance Right head 2 - Tail,0.01679152064025402,0.00035855654277838767,0.020902737975120544,0.00040697317180475145,-0.10926362872123718,0.07681086659431458,2638,False
Jump,158,dist_B1R_S1,Distance Right body 1 - Center body,0.016780519858002663,-0.006394458469003439,0.03854247182607651,0.0007504161429437412,-0.06844949722290039,0.5265770554542542,2638,False
Jump,159,dist_B1R_H1L,Distance Right body 1 - Left head 1,0.01676882989704609,-0.007069987710565329,0.026569094508886337,0.0005172962832491958,-0.09005501866340637,0.3648291528224945,2638,False
Jump,160,dist_B2L_B3R_roll_sum,Summed distance Left body 2 - Right body 3,0.01663331873714924,-0.0018791245529428124,0.026366690173745155,0.0005133555012158811,-0.10912039875984192,0.07497777044773102,2638,False
Jump,161,B2L_y_t-5,Left body 2 y (lag 5),0.016609586775302887,-0.007052922621369362,0.02239041030406952,0.00043593792881596946,-0.0816349983215332,0.1159450113773346,2638,False
Jump,162,dist_B1L_S1_roll_mean,Mean distance Left body 1 - Center body,0.01660863310098648,8.924863504944369e-05,0.024351146072149277,0.00047411316000129186,-0.12100709229707718,0.16713030636310577,2638,False
Jump,163,H2L_velocity,Left head 2 velocity,0.016512300819158554,-0.00826659332960844,0.022321054711937904,0.00043458758584435513,-0.12370005995035172,0.13209280371665955,2638,False
Jump,164,tail_x,Tail x,0.01649203896522522,-0.0044691595248878,0.020013224333524704,0.0003896544746792967,-0.059608060866594315,0.22319327294826508,2638,False
Jump,165,H2L_x_t-4,Left head 2 x (lag 4),0.0164609644562006,-0.004320287611335516,0.02891060709953308,0.00056288518203224,-0.18392544984817505,0.12402063608169556,2638,False
Jump,166,B2L_y,Left body 2 y,0.016358423978090286,-0.0042053693905472755,0.02076994813978672,0.00040438777363664734,-0.13145744800567627,0.09270959347486496,2638,False
Jump,167,dist_H2L_H2R,Distance Left head 2 - Right head 2,0.016172803938388824,-0.002259644912555814,0.02549063041806221,0.0004962987492303208,-0.0872398167848587,0.2520435154438019,2638,False
Jump,168,B2R_y_t-4,Right body 2 y (lag 4),0.01616884209215641,-0.0016635109204798937,0.035799119621515274,0.0006970034871760269,-0.23999996483325958,0.06824030727148056,2638,False
Jump,169,dist_B1R_S2_roll_mean,Mean distance Right body 1 - Center body,0.01591307483613491,-0.0037775372620671988,0.022387251257896423,0.0004358764226610115,-0.16896027326583862,0.06307698041200638,2638,False
Jump,170,dist_H2L_tail_roll_std,SD distance Left head 2 - Tail,0.015840889886021614,0.003047236707061529,0.023034434765577316,0.00044847698844211224,-0.20962737500667572,0.13176624476909637,2638,False
Jump,171,dist_B1R_nose,Distance Right body 1 - Nose,0.015765370801091194,-0.0038860973436385393,0.02344696968793869,0.0004565089814773532,-0.07073557376861572,0.2801360487937927,2638,False
Jump,172,dist_B3R_tail_roll_mean,Mean distance Right body 3 - Tail,0.01574317179620266,0.0020156586542725563,0.021204369142651558,0.0004128458853751639,-0.09427381306886673,0.10252922773361206,2638,False
Jump,173,dist_H1R_S2,Distance Right head 1 - Center body,0.015683285892009735,0.0023881623055785894,0.03280257061123848,0.0006386611275946046,-0.07369093596935272,0.4764723777770996,2638,False
Jump,174,dist_nose_tail_roll_sum,Summed distance Nose - Tail,0.01550544984638691,0.003056522225961089,0.020008709281682968,0.0003895665672974465,-0.05934670567512512,0.07852616161108017,2638,False
Jump,175,H1R_velocity_roll_mean,Mean right head 1 velocity,0.015379144810140133,0.009228058159351349,0.01571209542453289,0.0003059121402292848,-0.09505937993526459,0.09469341486692429,2638,False
Jump,176,dist_B1R_tail_roll_sum,Summed distance Right body 1 - Tail,0.015304261818528175,-0.006953770760446787,0.027327444404363632,0.0005320612419195643,-0.09089142084121704,0.0378069207072258,2638,False
Jump,177,dist_B1L_B2L_roll_std,SD distance Left body 1 - Left body 2,0.01526502426713705,-0.006472880952060223,0.022562744095921516,0.00043929324188369417,-0.14329025149345398,0.07587125897407532,2638,False
Jump,178,dist_H1L_H2L,Distance Left head 1 - Left head 2,0.015228638425469398,-0.0016156593337655067,0.022728661075234413,0.0004425236205741606,-0.14478807151317596,0.15562956035137177,2638,False
Jump,179,S1_x_t-2,Center body x (lag 2),0.015195469371974468,-0.0032866159453988075,0.022117221727967262,0.00043061898823270754,-0.13749408721923828,0.11140754073858261,2638,False
Jump,180,dist_B1L_S1_roll_std,SD distance Left body 1 - Center body,0.015101115219295025,-0.008334395475685596,0.021090473979711533,0.0004106283636433175,-0.09663272649049759,0.2572985589504242,2638,False
Jump,181,dist_B1L_tail_roll_std,SD distance Left body 1 - Tail,0.015046574175357819,-0.008557351306080818,0.020854540169239044,0.0004060347677565846,-0.10932845622301102,0.12540601193904877,2638,False
